,r2 score,KFold r2 score,Mean Squared Error,Mean Absolute Error
TRAIN,0.9942,0.9924,0.00267827148939454,0.03816437220164461
VALID,0.9921,0.9924,0.0037199296622196045,0.039193181332074736
