,r2 score,KFold r2 score,Mean Squared Error,Mean Absolute Error
TRAIN,1.0,0.9976,2.172390371420826e-05,0.0007535517611922102
VALID,0.9964,0.9976,0.001706214075270664,0.006577685383275318
